,index,StudioProjectName,StudioTestName,ParticipantName,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),RecordingTimestamp,StudioEventData,FixationPointX (MCSpx),FixationPointY (MCSpx),GazePointX (ADCSpx),GazePointY (ADCSpx),EyePosLeftX (ADCSmm),EyePosLeftY (ADCSmm),Unnamed: 14,participant_identifier
27,284,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4721,,641.0,301.0,813.0,301.0,225.97,216.1,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
28,285,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4737,,641.0,301.0,815.0,300.0,225.97,216.04,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
29,286,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4754,,641.0,301.0,815.0,301.0,225.96,215.97,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
30,287,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4770,,641.0,301.0,813.0,297.0,225.92,215.93,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
31,288,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4787,,641.0,301.0,805.0,300.0,225.85,215.97,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
32,289,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4804,,,,653.0,330.0,225.24,215.92,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
33,290,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4820,,,,524.0,355.0,224.66,215.87,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
34,291,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4837,,,,539.0,355.0,224.6,215.84,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
35,292,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4854,,,,523.0,356.0,224.62,215.88,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
36,293,MAP Protocol,VS_B,ADMI_560_F1,Social Array 3  3 to 3.bmp,171.0,0.0,4870,,357.0,358.0,527.0,355.0,224.6,215.9,,MAP Protocol_VS_B_ADMI_560_F1_VSB.tsv
