         1423357 function calls (1413174 primitive calls) in 5.420 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      288    0.000    0.000    0.001    0.000 frame.py:1158(__len__)
      870    0.000    0.000    0.002    0.000 concat.py:139(<genexpr>)
      144    0.000    0.000    0.000    0.000 common.py:170(all_none)
      752    0.000    0.000    0.000    0.000 managers.py:1588(_block)
      443    0.000    0.000    0.029    0.000 missing.py:50(isna)
      144    0.000    0.000    0.000    0.000 inference.py:360(is_sequence)
      144    0.000    0.000    0.002    0.000 _ufunc_config.py:433(__enter__)
      151    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
     1158    0.000    0.000    0.000    0.000 typing.py:1474(new_type)
      729    0.000    0.000    0.000    0.000 {pandas._libs.algos.ensure_int64}
      149    0.000    0.000    0.003    0.000 base.py:1875(is_floating)
      144    0.000    0.000    0.001    0.000 typing.py:715(__instancecheck__)
      432    0.000    0.000    0.030    0.000 missing.py:638(<lambda>)
      144    0.000    0.000    0.001    0.000 _ufunc_config.py:438(__exit__)
      146    0.000    0.000    0.000    0.000 glob.py:114(_iterdir)
       24    0.000    0.000    0.002    0.000 posixpath.py:400(_joinrealpath)
       24    0.000    0.000    0.000    0.000 function_base.py:4310(delete)
      144    0.000    0.000    0.000    0.000 parsers.py:2109(<listcomp>)
      144    0.000    0.000    0.000    0.000 parsers.py:1249(_validate_parse_dates_arg)
      144    0.000    0.000    0.014    0.000 generic.py:10858(any)
      144    0.000    0.000    0.000    0.000 base.py:503(_get_attributes_dict)
      288    0.000    0.000    0.000    0.000 inference.py:96(is_file_like)
      144    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__init__)
      444    0.000    0.000    0.000    0.000 generic.py:456(_get_axis_number)
      581    0.000    0.000    0.000    0.000 managers.py:253(items)
      144    0.000    0.000    0.000    0.000 common.py:821(_maybe_memory_map)
      144    0.000    0.000    0.000    0.000 parsers.py:3761(_refine_defaults_read)
      864    0.000    0.000    0.000    0.000 concat.py:119(is_nonempty)
      432    0.000    0.000    0.000    0.000 managers.py:1695(<genexpr>)
      145    0.000    0.000    0.003    0.000 base.py:2127(inferred_type)
      144    0.000    0.000    0.031    0.000 series.py:4778(isna)
      144    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(bincount)
      293    0.000    0.000    0.009    0.000 managers.py:157(blknos)
      288    0.000    0.000    0.000    0.000 generic.py:545(_info_axis)
      194    0.000    0.000    0.002    0.000 fromnumeric.py:52(_wrapfunc)
      144    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      743    0.000    0.000    0.000    0.000 generic.py:248(flags)
      580    0.000    0.000    0.000    0.000 base.py:623(dtype)
      146    0.000    0.000    0.002    0.000 fromnumeric.py:1004(argsort)
      144    0.000    0.000    0.001    0.000 typing.py:718(__subclasscheck__)
      144    0.000    0.000    0.000    0.000 base.py:606(__array__)
      751    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      147    0.000    0.000    0.001    0.000 managers.py:150(from_blocks)
      144    0.000    0.000    0.001    0.000 range.py:152(_data)
      146    0.000    0.000    0.000    0.000 numerictypes.py:651(<listcomp>)
        2    0.000    0.000    0.071    0.036 model_stimulus_selection.py:45(update_stimuli_from_data_and_dir)
      725    0.000    0.000    0.000    0.000 blocks.py:233(internal_values)
      288    0.000    0.000    0.001    0.000 parsers.py:1539(_maybe_make_multi_index_columns)
      396    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      864    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_iterator}
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      875    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      336    0.000    0.000    0.000    0.000 fromnumeric.py:3106(ndim)
     1008    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 {built-in method setEnabled}
        6    0.000    0.000    0.000    0.000 concat.py:130(<listcomp>)
      144    0.000    0.000    0.000    0.000 generic.py:453(<dictcomp>)
      578    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      144    0.000    0.000    0.004    0.000 managers.py:817(<listcomp>)
      144    0.000    0.000    0.005    0.000 parsers.py:1089(__exit__)
      144    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 base.py:6188(<listcomp>)
      146    0.000    0.000    0.044    0.000 <__array_function__ internals>:2(vstack)
       20    0.000    0.000    0.000    0.000 uiparser.py:120(popWidget)
      144    0.000    0.000    0.000    0.000 parsers.py:3407(_clean_na_values)
      288    0.000    0.000    0.000    0.000 frame.py:628(axes)
      144    0.000    0.000    0.000    0.000 missing.py:721(clean_reindex_fill_method)
       61    0.000    0.000    0.002    0.000 properties.py:367(convert)
     1152    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      288    0.000    0.000    0.000    0.000 base.py:4487(<genexpr>)
      299    0.000    0.000    0.000    0.000 generic.py:227(attrs)
       27    0.000    0.000    0.073    0.003 uiparser.py:220(setupObject)
      144    0.000    0.000    0.000    0.000 frame.py:3284(_ensure_valid_index)
  356/157    0.000    0.000    0.001    0.000 abc.py:141(__subclasscheck__)
     52/1    0.000    0.000    0.076    0.076 uiparser.py:799(traverseWidgetTree)
      144    0.000    0.000    0.000    0.000 parsers.py:865(_check_file_or_buffer)
      144    0.000    0.000    0.001    0.000 nanops.py:199(_maybe_get_mask)
      144    0.000    0.000    0.000    0.000 nanops.py:330(_na_ok_dtype)
      168    0.000    0.000    0.001    0.000 posixpath.py:168(islink)
       25    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
      146    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(argsort)
      144    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      725    0.000    0.000    0.000    0.000 concat.py:329(<genexpr>)
      299    0.000    0.000    0.000    0.000 common.py:317(apply_if_callable)
      432    0.000    0.000    0.000    0.000 parsers.py:1093(_is_index_col)
    48/24    0.000    0.000    0.001    0.000 numeric.py:570(argwhere)
       28    0.000    0.000    0.000    0.000 uiparser.py:107(push)
      733    0.000    0.000    0.000    0.000 blocks.py:147(_maybe_coerce_values)
      144    0.000    0.000    0.001    0.000 common.py:403(get_compression_method)
      144    0.000    0.000    0.000    0.000 common.py:198(is_fsspec_url)
      144    0.000    0.000    0.000    0.000 parsers.py:1423(_has_complex_date_col)
      144    0.000    0.000    0.000    0.000 frame.py:645(shape)
      144    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      8/1    0.000    0.000    0.076    0.076 uiparser.py:451(createLayout)
      144    0.000    0.000    0.000    0.000 base.py:508(<dictcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      436    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      297    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.checknull}
      443    0.000    0.000    0.000    0.000 flags.py:51(allows_duplicate_labels)
      144    0.000    0.000    0.000    0.000 common.py:145(validate_header_arg)
      151    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
      352    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      144    0.000    0.000    0.000    0.000 {built-in method sys.getfilesystemencoding}
        2    0.000    0.000    0.000    0.000 {built-in method setWidget}
      146    0.000    0.000    0.000    0.000 generic.py:569(ndim)
      144    0.000    0.000    0.000    0.000 parsers.py:3274(_make_date_converter)
      144    0.000    0.000    0.000    0.000 <string>:1(__new__)
       24    0.000    0.000    0.002    0.000 img_utils.py:32(img_exists)
      293    0.000    0.000    0.000    0.000 managers.py:173(blklocs)
      148    0.000    0.000    0.000    0.000 frame.py:482(_constructor)
      144    0.000    0.000    0.006    0.000 api.py:221(<genexpr>)
      145    0.000    0.000    0.000    0.000 generic.py:5443(<genexpr>)
      144    0.000    0.000    0.000    0.000 parsers.py:3946(_validate_skipfooter)
      143    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
        9    0.000    0.000    0.012    0.001 blocks.py:1387(take_nd)
      144    0.000    0.000    0.000    0.000 missing.py:64(clean_fill_method)
      145    0.000    0.000    0.000    0.000 base.py:4097(_get_engine_target)
      144    0.000    0.000    0.000    0.000 parsers.py:1407(<setcomp>)
      194    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
      147    0.000    0.000    0.000    0.000 function.py:45(__call__)
       75    0.000    0.000    0.000    0.000 {built-in method removeWidget}
      144    0.000    0.000    0.000    0.000 generic.py:3863(_check_setitem_copy)
      146    0.000    0.000    0.000    0.000 managers.py:1939(<listcomp>)
        1    0.000    0.000    0.000    0.000 api.py:95(_get_distinct_objs)
        5    0.000    0.000    0.143    0.029 concat.py:303(_concatenate_join_units)
        1    0.000    0.000    0.002    0.002 objcreator.py:58(__init__)
      288    0.000    0.000    0.000    0.000 function_base.py:4686(_append_dispatcher)
       27    0.000    0.000    0.000    0.000 properties.py:186(_size)
       35    0.000    0.000    0.008    0.000 objcreator.py:98(createQObject)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      288    0.000    0.000    0.000    0.000 common.py:174(<genexpr>)
      144    0.000    0.000    0.000    0.000 parsers.py:3850(_extract_dialect)
      146    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      336    0.000    0.000    0.000    0.000 fromnumeric.py:3102(_ndim_dispatcher)
     24/3    0.000    0.000    0.075    0.025 uiparser.py:543(handleItem)
        1    0.000    0.000    0.000    0.000 concat.py:391(<listcomp>)
       26    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
       34    0.000    0.000    0.000    0.000 properties.py:64(<listcomp>)
      144    0.000    0.000    0.000    0.000 parsers.py:1199(_validate_usecols_arg)
        6    0.000    0.000    0.049    0.008 concat.py:101(concat_compat)
       40    0.000    0.000    0.000    0.000 objcreator.py:123(findQObjectType)
        3    0.000    0.000    0.001    0.000 properties.py:350(_font)
        1    0.000    0.000    0.000    0.000 fnmatch.py:48(filter)
      145    0.000    0.000    0.000    0.000 numeric.py:78(_validate_dtype)
        1    0.000    0.000    0.007    0.007 concat.py:53(<listcomp>)
       33    0.000    0.000    0.001    0.000 ElementPath.py:318(findtext)
      101    0.000    0.000    0.000    0.000 {method 'findall' of 'xml.etree.ElementTree.Element' objects}
      146    0.000    0.000    0.000    0.000 base.py:1281(_get_names)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:39(_wrapit)
      145    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        8    0.000    0.000    0.001    0.000 generic.py:3783(_get_item_cache)
      146    0.000    0.000    0.000    0.000 shape_base.py:219(_vhstack_dispatcher)
      147    0.000    0.000    0.000    0.000 series.py:422(_constructor)
      288    0.000    0.000    0.000    0.000 parse.py:101(_noop)
      143    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
       24    0.000    0.000    0.000    0.000 shape_base.py:24(atleast_1d)
    81/61    0.000    0.000    0.000    0.000 ElementPath.py:98(select)
        4    0.000    0.000    0.000    0.000 properties.py:180(_rect)
      144    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_integer}
      144    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_bool}
      144    0.000    0.000    0.000    0.000 managers.py:227(is_single_block)
      168    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        3    0.000    0.000    0.145    0.048 generic.py:3492(take)
        5    0.000    0.000    0.000    0.000 managers.py:998(iget)
      144    0.000    0.000    0.000    0.000 multiarray.py:863(bincount)
      290    0.000    0.000    0.000    0.000 shape_base.py:78(_atleast_2d_dispatcher)
        5    0.000    0.000    0.021    0.004 algorithms.py:291(_check_object_for_strings)
       24    0.000    0.000    0.002    0.000 posixpath.py:391(realpath)
        7    0.000    0.000    0.000    0.000 {built-in method addLayout}
        3    0.000    0.000    0.086    0.029 series.py:4969(_cmp_method)
       70    0.000    0.000    0.000    0.000 uiparser.py:136(topIsLayout)
       30    0.000    0.000    0.000    0.000 uiparser.py:187(uniqueName)
      146    0.000    0.000    0.000    0.000 glob.py:82(<genexpr>)
      144    0.000    0.000    0.000    0.000 parse.py:397(_checknetloc)
       49    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      291    0.000    0.000    0.000    0.000 multiarray.py:593(min_scalar_type)
      288    0.000    0.000    0.000    0.000 fromnumeric.py:1712(_ravel_dispatcher)
       61    0.000    0.000    0.000    0.000 {built-in method objectName}
    48/24    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(argwhere)
        1    0.000    0.000    0.001    0.001 range.py:731(<listcomp>)
        1    0.000    0.000    0.000    0.000 concat.py:585(<listcomp>)
        1    0.000    0.000    0.082    0.082 loader.py:63(loadUi)
        6    0.000    0.000    0.000    0.000 concat.py:138(<setcomp>)
      144    0.000    0.000    0.000    0.000 parsers.py:423(_validate_names)
       11    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       73    0.000    0.000    0.000    0.000 properties.py:381(_getChild)
      144    0.000    0.000    0.000    0.000 nanops.py:174(_get_fill_value)
      144    0.000    0.000    0.000    0.000 base.py:397(ndim)
      146    0.000    0.000    0.000    0.000 fromnumeric.py:1000(_argsort_dispatcher)
        3    0.000    0.000    0.001    0.000 series.py:2734(_construct_result)
        9    0.000    0.000    0.000    0.000 properties.py:145(_string)
      145    0.000    0.000    0.000    0.000 typing.py:898(cast)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        6    0.000    0.000    0.042    0.007 concat.py:476(_is_uniform_join_units)
       60    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       33    0.000    0.000    0.001    0.000 {method 'findtext' of 'xml.etree.ElementTree.Element' objects}
       25    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
      2/1    0.000    0.000    0.000    0.000 sre_parse.py:469(_parse)
       13    0.000    0.000    0.000    0.000 {built-in method setMinimumSize}
      144    0.000    0.000    0.000    0.000 managers.py:1634(is_consolidated)
       77    0.000    0.000    0.000    0.000 qobjectcreator.py:47(search)
        1    0.000    0.000    0.000    0.000 api.py:91(<listcomp>)
      144    0.000    0.000    0.000    0.000 managers.py:405(<dictcomp>)
      144    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        9    0.000    0.000    0.000    0.000 {translate}
      142    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:793(get_code)
       38    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ElementTree.py:574(parse)
        5    0.000    0.000    0.000    0.000 algorithms.py:73(_ensure_data)
        3    0.000    0.000    0.012    0.004 managers.py:1312(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
        2    0.000    0.000    0.000    0.000 properties.py:318(_sizepolicy)
        3    0.000    0.000    0.001    0.000 uiparser.py:421(createSpacer)
       24    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
      148    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.085    0.028 array_ops.py:40(comp_method_OBJECT_ARRAY)
      146    0.000    0.000    0.000    0.000 glob.py:152(_ishidden)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
      155    0.000    0.000    0.000    0.000 concat.py:494(<genexpr>)
      144    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      146    0.000    0.000    0.000    0.000 numerictypes.py:652(<listcomp>)
        1    0.000    0.000    2.327    2.327 concat.py:82(concat)
        3    0.000    0.000    0.001    0.000 base.py:742(take)
        1    0.000    0.000    0.207    0.207 view_stimulus_selection.py:54(setup)
        6    0.000    0.000    0.000    0.000 numpy_.py:156(__init__)
      288    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       34    0.000    0.000    0.000    0.000 properties.py:63(int_list)
      168    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.082    0.082 uiparser.py:994(parse)
        7    0.000    0.000    0.002    0.000 objcreator.py:145(load_plugin)
       56    0.000    0.000    0.000    0.000 ascii_upper.py:29(ascii_upper)
       24    0.000    0.000    0.001    0.000 uiparser.py:74(_layout_position)
        5    0.000    0.000    0.000    0.000 algorithms.py:188(_reconstruct_data)
      144    0.000    0.000    0.000    0.000 parsers.py:1086(__enter__)
        1    0.000    0.000    0.000    0.000 concat.py:70(<listcomp>)
        3    0.000    0.000    0.085    0.028 array_ops.py:194(comparison_op)
       48    0.000    0.000    0.000    0.000 ElementPath.py:73(xpath_tokenizer)
        1    0.000    0.000    0.042    0.042 controller_participant_selection.py:38(update_view_selection_participants_from_model)
       24    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(delete)
      145    0.000    0.000    0.000    0.000 base.py:581(<lambda>)
       24    0.000    0.000    0.000    0.000 numeric.py:148(ones)
       70    0.000    0.000    0.000    0.000 properties.py:388(getProperty)
        3    0.000    0.000    0.000    0.000 indexers.py:363(check_array_indexer)
        1    0.000    0.000    0.005    0.005 base.py:4331(append)
        3    0.000    0.000    0.146    0.049 frame.py:3049(_getitem_bool_array)
        8    0.000    0.000    0.000    0.000 uiparser.py:114(popLayout)
        5    0.000    0.000    0.000    0.000 frame.py:3306(_box_col_values)
        1    0.000    0.000    0.001    0.001 glob.py:79(_glob1)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       15    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        5    0.000    0.000    0.000    0.000 properties.py:487(geometry)
        1    0.000    0.000    0.000    0.000 {built-in method clear}
       14    0.000    0.000    0.000    0.000 {built-in method setMaximumSize}
        4    0.000    0.000    0.000    0.000 numeric.py:107(_shallow_copy)
      145    0.000    0.000    0.000    0.000 range.py:703(<genexpr>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      3/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:978(_find_and_load)
       70    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        3    0.000    0.000    0.012    0.004 managers.py:1260(reindex_indexer)
        1    0.000    0.000    0.000    0.000 {built-in method setLayout}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        5    0.000    0.000    0.021    0.004 algorithms.py:256(_get_hashtable_algo)
        1    0.000    0.000    0.000    0.000 controller.py:49(connect_buttons_to_functions)
        5    0.000    0.000    0.078    0.016 series.py:1811(unique)
        3    0.000    0.000    0.001    0.000 algorithms.py:1570(take)
      144    0.000    0.000    0.000    0.000 range.py:253(step)
        1    0.000    0.000    0.005    0.005 range.py:694(_concat)
        1    0.000    0.000    0.000    0.000 delegator.py:105(create_view_objects)
        2    0.000    0.000    0.000    0.000 properties.py:319(<listcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method currentText}
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
        1    0.000    0.000    0.000    0.000 base.py:4354(<setcomp>)
        1    0.000    0.000    0.001    0.001 glob.py:9(glob)
      144    0.000    0.000    0.000    0.000 range.py:230(stop)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      3/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(transpose)
        2    0.000    0.000    0.000    0.000 {built-in method posix.chdir}
        1    0.000    0.000    0.000    0.000 view_plot.py:57(setup)
       10    0.000    0.000    0.000    0.000 common.py:615(is_dtype_equal)
        1    0.000    0.000    0.000    0.000 numeric.py:47(__new__)
      144    0.000    0.000    0.000    0.000 range.py:207(start)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
        6    0.000    0.000    0.000    0.000 blocks.py:239(array_values)
        7    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        3    0.000    0.000    0.145    0.048 generic.py:3591(_take_with_is_copy)
        1    0.000    0.000    0.000    0.000 base.py:1764(is_unique)
        1    0.000    0.000    0.006    0.006 api.py:161(union_indexes)
      3/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
        1    0.000    0.000    0.000    0.000 {built-in method setWindowTitle}
       24    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
       21    0.000    0.000    0.000    0.000 series.py:473(dtype)
        1    0.000    0.000    0.086    0.086 __init__.py:218(loadUi)
        8    0.000    0.000    0.000    0.000 uiparser.py:517(configureLayout)
      145    0.000    0.000    0.001    0.000 glob.py:39(_iglob)
        1    0.000    0.000    0.000    0.000 api.py:253(<setcomp>)
        1    0.000    0.000    0.000    0.000 range.py:709(<listcomp>)
        7    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        8    0.000    0.000    0.000    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
      3/1    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        9    0.000    0.000    0.000    0.000 properties.py:103(_pyEnumMember)
        3    0.000    0.000    0.000    0.000 generic.py:1784(__hash__)
        1    0.000    0.000    0.001    0.001 loader.py:41(<module>)
       33    0.000    0.000    0.000    0.000 ElementPath.py:257(__init__)
        3    0.000    0.000    0.086    0.029 common.py:50(new_method)
        6    0.000    0.000    0.000    0.000 numpy_.py:41(__init__)
       28    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       25    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        6    0.000    0.000    0.000    0.000 series.py:620(array)
        1    0.000    0.000    0.000    0.000 view_data_type_selection.py:53(setup)
      3/1    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        3    0.000    0.000    0.000    0.000 common.py:75(is_bool_indexer)
        5    0.000    0.000    0.000    0.000 generic.py:476(_get_block_manager_axis)
       21    0.000    0.000    0.000    0.000 managers.py:1615(dtype)
        1    0.000    0.000    2.677    2.677 controller.py:20(__init__)
        1    0.000    0.000    0.001    0.001 model_participant_selection.py:53(import_all_participants)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.000    0.000 {built-in method setMinimum}
      2/1    0.000    0.000    0.000    0.000 sre_parse.py:411(_parse_sub)
        1    0.000    0.000    0.002    0.002 uiparser.py:176(__init__)
        3    0.000    0.000    0.086    0.029 arraylike.py:27(__eq__)
        1    0.000    0.000    0.000    0.000 view_participant_selection.py:67(setup_layout)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
        3    0.000    0.000    0.000    0.000 indexing.py:2238(check_bool_indexer)
       10    0.000    0.000    0.000    0.000 concat.py:504(<genexpr>)
       27    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {built-in method _elementtree.SubElement}
        1    0.000    0.000    0.000    0.000 {built-in method resize}
       17    0.000    0.000    0.000    0.000 {pandas._libs.lib.item_from_zerodim}
        1    0.000    0.000    0.000    0.000 re.py:273(_compile)
        1    0.000    0.000    0.000    0.000 sre_compile.py:759(compile)
        8    0.000    0.000    0.000    0.000 uiparser.py:139(topIsLayoutWidget)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1187(parse)
        3    0.000    0.000    0.000    0.000 common.py:1234(is_numeric_dtype)
        1    0.000    0.000    0.000    0.000 base.py:6175(get_unanimous_names)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       54    0.000    0.000    0.000    0.000 ElementPath.py:112(select)
        1    0.000    0.000    0.000    0.000 base.py:826(copy)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
       14    0.000    0.000    0.000    0.000 inference.py:185(is_array_like)
        1    0.000    0.000    0.000    0.000 {built-in method setCentralWidget}
        3    0.000    0.000    0.000    0.000 series.py:721(__array__)
        3    0.000    0.000    0.000    0.000 properties.py:98(reset)
       20    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        2    0.000    0.000    0.000    0.000 uiparser.py:208(reset)
        1    0.000    0.000    0.245    0.245 controller.py:79(load_stimuli_menu)
      3/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:722(exec_module)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:602(transpose)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:1827(nonzero)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        6    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        9    0.000    0.000    0.000    0.000 properties.py:128(_enum)
       13    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        8    0.000    0.000    0.000    0.000 ElementTree.py:633(find)
        3    0.000    0.000    0.000    0.000 common.py:1071(is_numeric_v_string_like)
        5    0.000    0.000    0.000    0.000 generic.py:3409(_set_as_cached)
        7    0.000    0.000    0.000    0.000 qobjectcreator.py:130(createModuleWrapper)
        1    0.000    0.000    0.000    0.000 qobjectcreator.py:41(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        1    0.000    0.000    0.000    0.000 base.py:1250(_validate_names)
        3    0.000    0.000    0.000    0.000 view_stimulus_selection.py:29(get_selected)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       48    0.000    0.000    0.000    0.000 numeric.py:566(_argwhere_dispatcher)
        5    0.000    0.000    0.000    0.000 blocks.py:351(iget)
        1    0.000    0.000    0.000    0.000 view_participant_selection.py:110(disable)
        1    0.000    0.000    0.000    0.000 {built-in method insertWidget}
        1    0.000    0.000    0.086    0.086 delegator.py:97(set_attributes)
        1    0.000    0.000    0.000    0.000 properties.py:80(__init__)
        1    0.000    0.000    0.000    0.000 properties.py:494(orientation)
        2    0.000    0.000    0.000    0.000 properties.py:509(pyuicMargins)
        1    0.000    0.000    0.000    0.000 sre_parse.py:913(parse)
      145    0.000    0.000    0.000    0.000 common.py:160(<genexpr>)
        1    0.000    0.000    0.005    0.005 concat.py:609(_concat_indexes)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
       24    0.000    0.000    0.000    0.000 function_base.py:4306(_delete_dispatcher)
        1    0.000    0.000    0.000    0.000 base.py:1284(_set_names)
       22    0.000    0.000    0.000    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
        1    0.000    0.000    0.000    0.000 {built-in method setWordWrap}
        2    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
        1    0.000    0.000    0.000    0.000 uiparser.py:863(classname)
        1    0.000    0.000    0.005    0.005 concat.py:552(_get_concat_axis)
