         1423357 function calls (1413174 primitive calls) in 5.420 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5796    0.003    0.000    0.005    0.000 numerictypes.py:285(issubclass_)
     4789    0.003    0.000    0.006    0.000 common.py:1575(get_dtype)
     2474    0.003    0.000    0.007    0.000 {pandas._libs.lib.is_list_like}
     3035    0.003    0.000    0.109    0.000 <__array_function__ internals>:2(concatenate)
     3633    0.003    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
     1019    0.003    0.000    0.056    0.000 blocks.py:2730(make_block)
      151    0.003    0.000    0.003    0.000 {method 'close' of '_io.TextIOWrapper' objects}
     2165    0.003    0.000    0.005    0.000 base.py:4280(__getitem__)
    14569    0.003    0.000    0.003    0.000 common.py:185(classes)
        3    0.003    0.001    0.003    0.001 {pandas._libs.algos.take_2d_axis1_float64_float64}
      576    0.003    0.000    0.006    0.000 cast.py:1617(construct_1d_object_array_from_listlike)
      440    0.003    0.000    0.004    0.000 base.py:4231(__contains__)
     1164    0.003    0.000    0.009    0.000 blocks.py:202(_consolidate_key)
      144    0.003    0.000    0.090    0.001 managers.py:1176(insert)
     3893    0.003    0.000    0.005    0.000 common.py:429(is_timedelta64_dtype)
      584    0.003    0.000    0.028    0.000 base.py:4394(equals)
6322/6172    0.003    0.000    0.010    0.000 _asarray.py:23(asarray)
      578    0.003    0.000    0.006    0.000 _asarray.py:293(require)
     7388    0.003    0.000    0.003    0.000 _dtype.py:24(_kind_name)
     3326    0.003    0.000    0.005    0.000 common.py:1769(pandas_dtype)
     2452    0.003    0.000    0.008    0.000 base.py:5954(maybe_extract_name)
     1886    0.003    0.000    0.107    0.000 base.py:5837(ensure_index)
      720    0.002    0.000    0.035    0.000 missing.py:619(isna_all)
     9219    0.002    0.000    0.002    0.000 common.py:190(classes_and_not_datetimelike)
      144    0.002    0.000    0.852    0.006 parsers.py:2034(read)
      870    0.002    0.000    0.004    0.000 base.py:425(_simple_new)
      300    0.002    0.000    0.004    0.000 generic.py:5411(__finalize__)
      727    0.002    0.000    0.033    0.000 codecs.py:319(decode)
2346/2202    0.002    0.000    0.063    0.000 {built-in method builtins.all}
      720    0.002    0.000    0.077    0.000 concat.py:231(get_reindexed_values)
      144    0.002    0.000    0.003    0.000 parsers.py:824(_get_options_with_defaults)
      578    0.002    0.000    0.021    0.000 missing.py:244(_isna_string_dtype)
      144    0.002    0.000    0.003    0.000 parsers.py:1509(_maybe_dedup_names)
     3335    0.002    0.000    0.010    0.000 construction.py:354(extract_array)
      144    0.002    0.000    1.860    0.013 parsers.py:533(read_csv)
     3171    0.002    0.000    0.002    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      144    0.002    0.000    1.391    0.010 parsers.py:1055(read)
      288    0.002    0.000    0.037    0.000 managers.py:1844(_multi_blockify)
     1023    0.002    0.000    0.005    0.000 managers.py:206(shape)
     2899    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      578    0.002    0.000    0.057    0.000 missing.py:202(_isna_ndarraylike)
     3168    0.002    0.000    0.003    0.000 common.py:912(is_datetime64_any_dtype)
      720    0.002    0.000    0.013    0.000 concat.py:451(_select_upcast_cls_from_dtype)
        3    0.002    0.001    0.021    0.007 managers.py:1454(take)
      730    0.002    0.000    0.002    0.000 {method 'fill' of 'numpy.ndarray' objects}
      144    0.002    0.000    0.442    0.003 parsers.py:780(__init__)
     2160    0.002    0.000    0.006    0.000 managers.py:1863(_asarray_compat)
      144    0.002    0.000    0.029    0.000 common.py:491(get_handle)
      576    0.002    0.000    0.011    0.000 base.py:6024(_maybe_cast_data_without_dtype)
      144    0.002    0.000    0.529    0.004 construction.py:241(init_dict)
      144    0.002    0.000    0.003    0.000 parsers.py:1272(__init__)
      437    0.002    0.000    0.009    0.000 managers.py:126(__init__)
     4041    0.002    0.000    0.025    0.000 common.py:1551(_is_dtype)
     3888    0.002    0.000    0.002    0.000 range.py:747(__len__)
        3    0.002    0.001    0.002    0.001 {pandas._libs.algos.take_2d_axis0_int64_int64}
      578    0.002    0.000    0.018    0.000 missing.py:367(array_equivalent)
      292    0.002    0.000    0.533    0.002 frame.py:502(__init__)
      292    0.002    0.000    0.002    0.000 numerictypes.py:575(_can_coerce_all)
